time_s,displacement_mm
0.000000,-0.002243
0.020000,0.044389
0.040000,-0.111350
0.060000,-0.220842
0.080000,0.019505
0.100000,0.370299
0.120000,0.377522
0.140000,0.128446
0.160000,0.035221
0.180000,0.044729
0.200000,-0.176426
0.220000,-0.468299
0.240000,-0.403050
0.260000,-0.083678
0.280000,0.047673
0.300000,-0.019321
0.320000,0.037505
0.340000,0.229367
0.360000,0.302709
0.380000,0.236043
0.400000,0.203220
0.420000,0.191896
0.440000,0.045835
0.460000,-0.225010
0.480000,-0.444749
0.500000,-0.470733
0.520000,-0.268752
0.540000,0.034097
0.560000,0.171252
0.580000,0.071125
0.600000,0.045904
0.620000,0.292759
0.640000,0.469004
0.660000,0.253709
0.680000,-0.034840
0.700000,-0.016856
0.720000,-0.004914
0.740000,-0.388849
0.760000,-0.724142
0.780000,-0.385794
0.800000,0.251338
0.820000,0.337128
0.840000,-0.032616
0.860000,-0.042396
0.880000,0.365728
0.900000,0.450647
0.920000,0.099472
0.940000,0.007187
0.960000,0.247120
0.980000,0.031352
1.000000,-0.701900
1.020000,-0.893026
1.040000,-0.166808
1.060000,0.411345
1.080000,0.153064
1.100000,-0.133572
1.120000,0.250464
1.140000,0.606511
1.160000,0.229298
1.180000,-0.229783
1.200000,0.006232
1.220000,0.376137
1.240000,0.012672
1.260000,-0.676827
1.280000,-0.707495
1.300000,-0.122530
1.320000,0.226688
1.340000,0.088554
1.360000,0.027691
1.380000,0.334736
1.400000,0.510673
1.420000,0.135051
1.440000,-0.300673
1.460000,-0.098543
1.480000,0.395129
1.500000,0.215162
1.520000,-0.577337
1.540000,-0.849879
1.560000,-0.225897
1.580000,0.313039
1.600000,0.135810
1.620000,-0.027625
1.640000,0.425126
1.660000,0.722946
1.680000,0.118365
1.700000,-0.558151
1.720000,-0.215425
1.740000,0.495379
1.760000,0.218177
1.780000,-0.698572
1.800000,-0.759494
1.820000,0.054710
1.840000,0.310669
1.860000,-0.233059
1.880000,-0.219531
1.900000,0.664792
1.920000,0.928953
1.940000,-0.008842
1.960000,-0.620806
1.980000,0.021453
2.000000,0.559136
2.020000,-0.130806
2.040000,-0.856678
2.060000,-0.347744
2.080000,0.393048
2.100000,0.016527
2.120000,-0.618664
2.140000,-0.072357
2.160000,0.923051
2.180000,0.720225
2.200000,-0.304074
2.220000,-0.470039
2.240000,0.265076
2.260000,0.429429
2.280000,-0.266614
2.300000,-0.578841
2.320000,-0.079307
2.340000,0.171624
2.360000,-0.325333
2.380000,-0.559940
2.400000,0.157938
2.420000,0.877968
2.440000,0.564968
2.460000,-0.160900
2.480000,-0.150919
2.500000,0.279643
2.520000,0.056047
2.540000,-0.583768
2.560000,-0.507509
2.580000,0.161185
2.600000,0.201161
2.620000,-0.444926
2.640000,-0.483980
2.660000,0.384793
2.680000,0.832574
2.700000,0.214916
2.720000,-0.301399
2.740000,0.133730
2.760000,0.536997
2.780000,-0.030222
2.800000,-0.674212
