time_s,displacement_mm
0.000000,0.003563
0.020000,-0.077567
0.040000,-0.134810
0.060000,0.049689
0.080000,0.374659
0.100000,0.403678
0.120000,0.145242
0.140000,0.025470
0.160000,0.034364
0.180000,-0.180712
0.200000,-0.478906
0.220000,-0.416886
0.240000,-0.092316
0.260000,0.042819
0.280000,-0.022250
0.300000,0.037085
0.320000,0.229783
0.340000,0.304207
0.360000,0.240874
0.380000,0.208326
0.400000,0.192496
0.420000,0.044786
0.440000,-0.221786
0.460000,-0.438946
0.480000,-0.468979
0.500000,-0.272036
0.520000,0.031215
0.540000,0.172143
0.560000,0.073306
0.580000,0.046036
0.600000,0.291227
0.620000,0.467977
0.640000,0.253688
0.660000,-0.034607
0.680000,-0.016618
0.700000,-0.004572
0.720000,-0.388467
0.740000,-0.723683
0.760000,-0.385226
0.780000,0.251868
0.800000,0.337661
0.820000,-0.032020
0.840000,-0.042069
0.860000,0.365717
0.880000,0.450861
0.900000,0.100072
0.920000,0.007855
0.940000,0.248135
0.960000,0.032573
0.980000,-0.702254
1.000000,-0.895492
1.020000,-0.168408
1.040000,0.412827
1.060000,0.155272
1.080000,-0.133403
1.100000,0.249954
1.120000,0.607556
1.140000,0.230850
1.160000,-0.229624
1.180000,0.005629
1.200000,0.376177
1.220000,0.013101
1.240000,-0.676669
1.260000,-0.707279
1.280000,-0.122002
1.300000,0.227170
1.320000,0.088996
1.340000,0.028301
1.360000,0.335068
1.380000,0.510300
1.400000,0.134191
1.420000,-0.301714
1.440000,-0.098883
1.460000,0.397074
1.480000,0.218799
1.500000,-0.575464
1.520000,-0.851182
1.540000,-0.227583
1.560000,0.313174
1.580000,0.136529
1.600000,-0.027764
1.620000,0.424746
1.640000,0.723181
1.660000,0.118723
1.680000,-0.558496
1.700000,-0.215833
1.720000,0.496674
1.740000,0.221055
1.760000,-0.697041
1.780000,-0.760669
1.800000,0.053931
1.820000,0.312726
1.840000,-0.231422
1.860000,-0.222040
1.880000,0.661084
1.900000,0.929162
1.920000,-0.005945
1.940000,-0.619743
1.960000,0.020996
1.980000,0.560198
2.000000,-0.129137
2.020000,-0.856971
2.040000,-0.348515
2.060000,0.394545
2.080000,0.018641
2.100000,-0.619222
2.120000,-0.074453
2.140000,0.922940
2.160000,0.721852
2.180000,-0.303754
2.200000,-0.471267
2.220000,0.264885
2.240000,0.431048
2.260000,-0.265242
2.280000,-0.579198
2.300000,-0.080192
2.320000,0.172282
2.340000,-0.323213
2.360000,-0.558613
2.380000,0.157309
2.400000,0.876956
2.420000,0.565086
2.440000,-0.160573
2.460000,-0.151253
2.480000,0.279898
2.500000,0.057022
2.520000,-0.584100
2.540000,-0.507993
2.560000,0.164300
2.580000,0.205150
2.600000,-0.447244
2.620000,-0.490461
2.640000,0.384046
2.660000,0.838448
2.680000,0.218615
2.700000,-0.302749
2.720000,0.132732
2.740000,0.538593
2.760000,-0.029131
2.780000,-0.674918
2.800000,-0.314387
2.820000,0.305237
2.840000,-0.012279
2.860000,-0.707717
2.880000,-0.482253
2.900000,0.414597
2.920000,0.701970
2.940000,0.224949
2.960000,-0.035429
2.980000,0.235247
3.000000,0.297634
3.020000,-0.194343
3.040000,-0.524736
3.060000,-0.146896
3.080000,0.281545
3.100000,-0.052544
3.120000,-0.625647
3.140000,-0.360373
3.160000,0.453002
3.180000,0.575224
3.200000,0.009885
3.220000,-0.062259
3.240000,0.425496
3.260000,0.284122
3.280000,-0.534590
3.300000,-0.641683
3.320000,0.211418
3.340000,0.540391
3.360000,-0.217540
3.380000,-0.699762
3.400000,-0.102855
3.420000,0.476376
3.440000,0.179360
3.460000,-0.137160
3.480000,0.273842
3.500000,0.564104
3.520000,-0.037160
3.540000,-0.651238
3.560000,-0.297184
3.580000,0.346421
3.600000,0.207831
3.620000,-0.327078
3.640000,-0.304199
3.660000,0.079951
3.680000,0.084211
3.700000,-0.111676
3.720000,0.098927
3.740000,0.476884
3.760000,0.370860
3.780000,-0.107469
3.800000,-0.347111
3.820000,-0.230744
3.840000,-0.076384
3.860000,-0.002821
3.880000,0.048344
3.900000,0.032185
3.920000,-0.055429
3.940000,-0.076331
3.960000,0.013463
3.980000,0.115019
4.000000,0.187850
4.020000,0.217337
4.040000,0.089790
4.060000,-0.193105
4.080000,-0.335890
4.100000,-0.131772
4.120000,0.144278
4.140000,0.117679
4.160000,-0.084059
4.180000,-0.085140
4.200000,0.058458
4.220000,0.028106
4.240000,-0.062293
4.260000,0.123767
4.280000,0.354723
4.300000,0.122459
4.320000,-0.345466
4.340000,-0.343200
4.360000,0.080392
4.380000,0.193576
4.400000,-0.114514
4.420000,-0.192944
4.440000,0.123335
4.460000,0.222530
4.480000,-0.093939
4.500000,-0.195679
4.520000,0.192665
4.540000,0.407239
4.560000,0.022191
4.580000,-0.355205
4.600000,-0.181321
4.620000,0.069547
4.640000,-0.106718
4.660000,-0.233135
4.680000,0.159245
4.700000,0.447331
4.720000,0.017311
4.740000,-0.439373
4.760000,-0.086199
4.780000,0.480530
4.800000,0.289254
4.820000,-0.250894
4.840000,-0.209472
4.860000,0.117961
4.880000,-0.070209
4.900000,-0.428164
4.920000,-0.147910
4.940000,0.413596
4.960000,0.356488
4.980000,-0.129186
5.000000,-0.210645
5.020000,0.076727
5.040000,0.110356
5.060000,-0.067344
5.080000,0.000874
5.100000,0.175734
5.120000,0.019481
5.140000,-0.311622
5.160000,-0.317528
5.180000,0.034290
5.200000,0.332141
5.220000,0.297090
5.240000,0.023529
5.260000,-0.172186
5.280000,-0.096118
5.300000,0.043757
5.320000,-0.051359
5.340000,-0.185883
5.360000,0.027539
5.380000,0.312140
5.400000,0.072607
5.420000,-0.397086
5.440000,-0.238836
5.460000,0.364959
5.480000,0.366554
5.500000,-0.227059
5.520000,-0.312932
5.540000,0.223486
5.560000,0.298577
5.580000,-0.225869
5.600000,-0.255900
5.620000,0.336532
5.640000,0.363059
5.660000,-0.400568
5.680000,-0.686684
5.700000,-0.023601
5.720000,0.445802
5.740000,0.083450
5.760000,-0.180987
5.780000,0.264030
5.800000,0.512930
5.820000,-0.078707
5.840000,-0.523876
5.860000,0.019347
5.880000,0.587648
5.900000,0.124991
5.920000,-0.582619
5.940000,-0.425972
5.960000,0.049191
5.980000,-0.022116
