tracker,zoom,amp_px,rmse_px
zncc,1,0.0,0.002168867144132392
cotracker,1,0.0,0.03190714187217788
zncc,1,0.5,0.06281437713983484
cotracker,1,0.5,0.04309558987124016
zncc,1.5,0.0,0.0019980266703663267
cotracker,1.5,0.0,0.023556502631851675
zncc,1.5,0.5,0.01790773104278549
cotracker,1.5,0.5,0.028762527187601996
zncc,2,0.0,0.00180940389035836
cotracker,2,0.0,0.02189726949674046
zncc,2,0.5,0.00758586974954744
cotracker,2,0.5,0.04048488932873586
zncc,3,0.0,0.0011799103207915853
cotracker,3,0.0,0.021812668295181463
zncc,3,0.5,0.0023886796641417237
cotracker,3,0.5,0.039873458471593536
zncc,4,0.0,0.001311379556498592
cotracker,4,0.0,0.026655902497356106
zncc,4,0.5,0.002684979356658723
cotracker,4,0.5,0.049128342968767565
