tracker,zoom,amp_px,rmse_px
zncc,1,0.0,0.002404920595551954
cotracker,1,0.0,0.04979510633671585
zncc,1,0.5,0.06924015969039239
cotracker,1,0.5,0.059352057301238534
zncc,1.5,0.0,0.003331176386251004
cotracker,1.5,0.0,0.034711644037316865
zncc,1.5,0.5,0.027694106822086506
cotracker,1.5,0.5,0.06760380340714726
zncc,2,0.0,0.0017885368434177181
cotracker,2,0.0,0.04237265123929502
zncc,2,0.5,0.01850905460520292
cotracker,2,0.5,0.059166990025006146
zncc,3,0.0,0.002819707034213107
cotracker,3,0.0,0.048872027071681916
zncc,3,0.5,0.01775639057029185
cotracker,3,0.5,0.10072024838132959
zncc,4,0.0,0.007804068737286178
cotracker,4,0.0,0.15817009473206595
zncc,4,0.5,0.018473080782576524
cotracker,4,0.5,0.21003363300326977
