tracker,zoom,amp_px,rmse_px,mean_sigma_px
phase,1,0.05,0.0005388385331307231,0.0006826164613671693
zncc,1,0.05,0.007786045033073481,nan
phase,1,0.1,0.0005440558732263171,0.0006833912544435514
zncc,1,0.1,0.01500133155182398,nan
phase,1,0.25,0.000597206494459225,0.0006906416438021712
zncc,1,0.25,0.036034419224345984,nan
phase,1,0.5,0.0006392128413859465,0.0007137964104795009
zncc,1,0.5,0.06292031061179097,nan
phase,1,1.0,0.0005921332954116909,0.0007702598072340837
zncc,1,1.0,0.039254709417878876,nan
phase,1,2.0,0.0010003102782850514,0.001026196649328289
zncc,1,2.0,0.05294432772312453,nan
phase,2,0.05,0.001778928729054021,0.0013657428309242316
zncc,2,0.05,0.0034389427898976034,nan
phase,2,0.1,0.0033597305275429603,0.001402827456482613
zncc,2,0.1,0.00604023693923304,nan
phase,2,0.25,0.00822779673244581,0.0016313132916385893
zncc,2,0.25,0.012270920195027788,nan
phase,2,0.5,0.012292024828825908,0.002186695357912491
zncc,2,0.5,0.007554102215218153,nan
phase,2,1.0,0.008549069857472317,0.002715858271322043
zncc,2,1.0,0.009991351238635756,nan
phase,2,2.0,0.010168133204160937,0.0033221838255974917
zncc,2,2.0,0.010169208600061104,nan
