tracker,zoom,amp_px,rmse_px,mean_sigma_px
phase,1,0.05,0.008801100797423658,0.000994907282436683
zncc,1,0.05,0.013386029837312184,nan
phase,1,0.1,0.009981735977577528,0.0010122939275889794
zncc,1,0.1,0.020797552364615723,nan
phase,1,0.25,0.012483467961852367,0.0011200043688593872
zncc,1,0.25,0.0411854718764355,nan
phase,1,0.5,0.014874280403195243,0.0011399946663866874
zncc,1,0.5,0.06872778043408993,nan
phase,1,1.0,0.013036868304827788,0.0012338198496737191
zncc,1,1.0,0.039286082046235404,nan
phase,1,2.0,0.010971983530937361,0.0015005488914541472
zncc,1,2.0,0.05462678718651809,nan
phase,2,0.05,0.01135202448610486,0.0017543223836579208
zncc,2,0.05,0.011363449744759243,nan
phase,2,0.1,0.013516622914485322,0.0018661350571429756
zncc,2,0.1,0.014663193662761377,nan
phase,2,0.25,0.018806665711183976,0.00218940746040934
zncc,2,0.25,0.020816196446251167,nan
phase,2,0.5,0.026107207404755185,0.002643453866226131
zncc,2,0.5,0.018063200662296077,nan
phase,2,1.0,0.02116691657374825,0.003031589902867698
zncc,2,1.0,0.018572682032958025,nan
phase,2,2.0,0.020821696479102206,0.0038291171021570493
zncc,2,2.0,0.01555913127918646,nan
